code,product_name,brands,categories,categories_tags,countries,countries_tags,nutriscore_grade,nova_group,last_modified_t,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,salt_100g,proteins_100g,fiber_100g,sodium_100g,product_name_pref,last_modified_ts,has_name,has_brands,core_nutrients_count,completeness_score
0000100000635,Boneless lamb cuts,te kuiti,,,world,en:world,unknown,,1728358926,,,,,,,,,,Boneless lamb cuts,2024-10-08T03:42:06.000Z,1,1,0,0.2857142857142857
0000100000687,Oil Roasted Unsalted Cashews,caro nut,,,world,en:world,unknown,,1728358926,,,,,,,,,,Oil Roasted Unsalted Cashews,2024-10-08T03:42:06.000Z,1,1,0,0.2857142857142857
0000100000724,Ben's Pure Maple Cream,"ben's sugar shack, jeff de bruges",,,"en:fr, world","en:france,en:world",unknown,,1728358927,532.0,2226.0,30.28,19.3,37.72,0.27,5.68,,0.108,Ben's Pure Maple Cream,2024-10-08T03:42:07.000Z,1,1,5,1.0
00001005,,eigenproduktion,,,"ireland, germany","en:germany,en:ireland",unknown,,1728036299,,,,,,,,,,,2024-10-04T10:04:59.000Z,0,1,0,0.14285714285714285
00001010,,"eigenfertigung, eigenproduktion",,,"ireland, germany","en:germany,en:ireland",unknown,,1751757759,,,,,,,,,,,2025-07-05T23:22:39.000Z,0,1,0,0.14285714285714285
00001011,Fromage blanc fermier de chèvre au lait entier,,"produits laitiers, produits fermentés, desserts, produits laitiers fermentés, desserts lactés, desserts lactés fermentés, fromages blancs","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,fr:fromages-blancs",en:fr,en:france,unknown,,1728358005,,,,,,,,,,Fromage blanc fermier de chèvre au lait entier,2024-10-08T03:26:45.000Z,1,0,0,0.14285714285714285
00001012,,eigenproduktion,,,"ireland, germany","en:germany,en:ireland",unknown,,1752915593,,,,,,,,,,,2025-07-19T08:59:53.000Z,0,1,0,0.14285714285714285
0000101209159,Véritable pâte à tartiner noisettes chocolat noir,bovetti,"petit-déjeuners,produits à tartiner,produits à tartiner sucrés,pâtes à tartiner,pâtes à tartiner aux noisettes,pâtes à tartiner au chocolat,pâtes à tartiner aux noisettes et au cacao","en:breakfasts,en:spreads,en:sweet-spreads,fr:pates-a-tartiner,en:hazelnut-spreads,en:chocolate-spreads,en:cocoa-and-hazelnuts-spreads",france,en:france,e,,1731601773,617.0,2582.0,48.0,10.0,32.0,0.01,8.0,,0.004,Véritable pâte à tartiner noisettes chocolat noir,2024-11-14T16:29:33.000Z,1,1,5,1.0
0000101646267,Carrot,more,"plant-based foods and beverages,plant-based foods,fruits and vegetables based foods,vegetables based foods,fresh foods,fresh plant-based foods,fresh vegetables","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:fresh-vegetables",india,en:india,a,1,1748640503,,,,,,,,,,Carrot,2025-05-30T21:28:23.000Z,1,1,0,0.2857142857142857
0000102041987,Poutargue de mulet sous vide,,mulet,"en:seafood,en:fishes-and-their-products,en:fishes,en:lean-fishes,en:mullet",france,en:france,unknown,,1747730481,,,,,,,,,,Poutargue de mulet sous vide,2025-05-20T08:41:21.000Z,1,0,0,0.14285714285714285
